UnixTimeStamp,Value,
1438214400,8893,0
1438300800,0,0
1438387200,0,0
1438473600,0,0
1438560000,0,0
1438646400,0,0
1438732800,0,0
1438819200,0,0
1438905600,2050,2.77
1438992000,2881,0.81
1439078400,1329,0.74
1439164800,2037,0.68
1439251200,4963,1.06
1439337600,2036,1.25
1439424000,2842,1.78
1439510400,3174,1.8
1439596800,2284,1.79
1439683200,2440,1.37
1439769600,2512,1.2
1439856000,2494,1.27
1439942400,3246,1.26
1440028800,2303,1.48
1440115200,3919,1.44
1440201600,3579,1.39
1440288000,4190,1.35
1440374400,4432,1.24
1440460800,4487,1.17
1440547200,4156,1.16
1440633600,5590,1.13
1440720000,4758,1.3
1440806400,4139,1.18
1440892800,4572,1.32
1440979200,5196,1.35
1441065600,5153,1.35
1441152000,5195,1.29
1441238400,4777,1.26
1441324800,5642,1.27
1441411200,5519,1.37
1441497600,5521,1.3
1441584000,5702,1.24
1441670400,5622,1.23
1441756800,5604,1.21
1441843200,5341,1.16
1441929600,6460,0.98
1442016000,5596,1.04
1442102400,6057,0.94
1442188800,5572,0.87
1442275200,5409,0.94
1442361600,5872,0.9
1442448000,5368,0.89
1442534400,5802,0.85
1442620800,5205,0.89
1442707200,6402,0.94
1442793600,6305,0.9
1442880000,6804,0.9
1442966400,7404,0.9
1443052800,6224,0.81
1443139200,5851,0.74
1443225600,5907,0.78
1443312000,5760,0.72
1443398400,6123,0.59
1443484800,5738,0.68
1443571200,5870,0.72
1443657600,6421,0.68
1443744000,6063,0.68
1443830400,6112,0.69
1443916800,6624,0.67
1444003200,6279,0.63
1444089600,6458,0.66
1444176000,7121,0.61
1444262400,6926,0.62
1444348800,6763,0.65
1444435200,6529,0.63
1444521600,6023,0.63
1444608000,6593,0.63
1444694400,6818,0.6
1444780800,6830,0.51
1444867200,6499,0.56
1444953600,6795,0.53
1445040000,6567,0.55
1445126400,6481,0.52
1445212800,6604,0.49
1445299200,5897,0.44
1445385600,6182,0.44
1445472000,5979,0.59
1445558400,6888,0.52
1445644800,6361,0.57
1445731200,5830,0.65
1445817600,5938,0.74
1445904000,6784,0.87
1445990400,7346,1.01
1446076800,7836,1.16
1446163200,7941,1.04
1446249600,7557,0.89
1446336000,6915,1.05
1446422400,6558,0.96
1446508800,7399,1
1446595200,7037,0.87
1446681600,7498,0.89
1446768000,7882,0.92
1446854400,10996,0.92
1446940800,12413,1.02
1447027200,7689,1
1447113600,8151,0.92
1447200000,10217,0.78
1447286400,9534,0.89
1447372800,7891,0.89
1447459200,7211,0.89
1447545600,7170,0.9
1447632000,7442,0.94
1447718400,7145,1
1447804800,7373,0.99
1447891200,8876,0.95
1447977600,6348,0.93
1448064000,6822,0.97
1448150400,7083,0.96
1448236800,8260,0.94
1448323200,7152,0.91
1448409600,7098,0.86
1448496000,7278,0.88
1448582400,6639,0.87
1448668800,6817,0.91
1448755200,6853,0.87
1448841600,8986,0.88
1448928000,6794,0.87
1449014400,6502,0.83
1449100800,6971,0.82
1449187200,6898,0.84
1449273600,6784,0.85
1449360000,9103,0.84
1449446400,7141,0.8
1449532800,6697,0.83
1449619200,7001,0.79
1449705600,7444,0.84
1449792000,8105,0.91
1449878400,8205,0.97
1449964800,7426,0.96
1450051200,15550,0.99
1450137600,21098,1.01
1450224000,10304,0.99
1450310400,9612,0.94
1450396800,9032,0.91
1450483200,9314,0.9
1450569600,9879,0.9
1450656000,12063,0.89
1450742400,21027,0.87
1450828800,22740,0.85
1450915200,13494,0.85
1451001600,9521,0.87
1451088000,10726,0.85
1451174400,21867,0.85
1451260800,12368,0.84
